id,skills,education,experience_years,role
341,"express, flask, rust, supabase",Masters,9,Backend Developer
342,"apache, linux, networking, numpy, powerbi, technical_writing",PhD,4,Systems Administrator
343,"angular, django, flask, pandas, photoshop, rust, scikit_learn, supabase",Bootcamp,9,Full Stack Developer
344,"csharp, cybersecurity, cypress, nodejs",Bachelors,4,Cybersecurity Analyst
345,"public_speaking, tensorflow, ui_design",Bootcamp,9,UX/UI Designer
346,"cpp, nginx, photoshop, project_management, tableau",Bachelors,2,Project Manager
347,"aws, elasticsearch, leadership, statistics",Masters,1,Data Scientist
348,"devops, mongodb_atlas, networking, public_speaking, rabbitmq, rails, rust",Bachelors,15,Product Manager
349,"computer_vision, mongodb_atlas, rabbitmq, sql",Bootcamp,12,Database Administrator
350,"excel, nginx, terraform",Masters,6,DevOps Engineer
351,"apache, ethereum, jira",PhD,3,Product Manager
352,"django, supabase, vue",Bachelors,10,Backend Developer
353,"data_viz, react, statistics",Bachelors,14,Data Scientist
354,"csharp, data_analysis, django, ethereum, flask, jira, kubernetes",Bachelors,0,Backend Developer
355,"csharp, deep_learning, java, public_speaking, redis, typescript",Bootcamp,4,Backend Developer
356,"agile, aws, communication, illustrator, nosql, scikit_learn, technical_writing",Bootcamp,7,Technical Writer
357,"aws, gcp, go, leadership, project_management, solidity, technical_writing, tensorflow",Bootcamp,13,DevOps Engineer
358,"angular, cybersecurity, excel, gitlab, html, terraform",Bootcamp,10,Frontend Developer
359,"firebase, flask, kafka, swift",Masters,15,Full Stack Developer
360,"azure, data_viz, excel, gitlab, supabase, ux_research",Bachelors,2,DevOps Engineer
361,"deep_learning, mysql, project_management, solidity",Bachelors,10,Database Administrator
362,"cpp, go, microservices, nodejs",Bootcamp,13,Backend Developer
363,"bash, devops, gcp, gitlab, pandas, problem_solving, swift, terraform",Masters,0,DevOps Engineer
364,"aws, cpp, git, go, ruby, sql, technical_writing, terraform",Bachelors,2,DevOps Engineer
365,"kubernetes, leadership, nginx, powershell, swift",Bootcamp,3,Backend Developer
366,"excel, flask, machine_learning, pytorch",Bootcamp,13,Data Scientist
367,"grpc, redis, scikit_learn, tableau",Bootcamp,3,Database Administrator
368,"flask, nginx, pandas, photoshop, rabbitmq",Bootcamp,14,Data Scientist
369,"computer_vision, data_viz, ethereum, java",Bachelors,10,Data Scientist
370,"bash, graphql, laravel, mongodb_atlas, selenium, solidity",Masters,13,Solutions Architect
371,"express, kotlin, supabase, tensorflow, vue",Bachelors,11,Backend Developer
372,"hadoop, java, microservices, mysql, sql",Masters,4,Backend Developer
373,"azure, mysql, nginx",Bootcamp,4,Solutions Architect
374,"cicd, cypress, jenkins, nodejs, swift, terraform",PhD,7,DevOps Engineer
375,"cicd, deep_learning, kubernetes, mongodb, photoshop, selenium, websockets",Masters,6,DevOps Engineer
376,"apache_spark, devops, flask, microservices, mongodb_atlas, mysql, postgresql",Bootcamp,7,Database Administrator
377,"aws, hadoop, nosql, powerbi, sketch, solidity, tableau",Bootcamp,12,Data Analyst
378,"csharp, jira, terraform",Bachelors,4,Cloud Engineer
379,"communication, scikit_learn, solidity, technical_writing, terraform",Bachelors,15,Product Manager
380,"communication, firebase, leadership, public_speaking, spring",Bootcamp,8,Project Manager
381,"apache_spark, docker, flask, mongodb_atlas, nodejs, powerbi",Bachelors,15,Backend Developer
382,"data_viz, devops, photoshop, php, postgresql, powerbi, powershell",Bachelors,9,Data Analyst
383,"jira, photoshop, rabbitmq, rust, selenium, sql",Bootcamp,2,Project Manager
384,"cypress, mongodb_atlas, rest_apis, sketch, swift, ux_research",Masters,4,Software Developer
385,"cypress, data_viz, postgresql, powerbi, rabbitmq, sql",Bachelors,10,Database Administrator
386,"blockchain, figma, kubernetes, mongodb, rails",Bootcamp,13,Machine Learning Engineer
387,"express, gcp, graphql, photoshop, postgresql, spring, swift, testing",Bachelors,14,Backend Developer
388,"express, flask, tensorflow",Bootcamp,3,Machine Learning Engineer
389,"apache, apache_spark, data_viz, docker, nlp, pytest, pytorch",Masters,0,Data Scientist
390,"cicd, jenkins, solidity",Bootcamp,5,DevOps Engineer
391,"blockchain, go, photoshop, spring",Bootcamp,10,Blockchain Developer
392,"data_analysis, data_viz, deep_learning, docker, hadoop, networking, ruby",Bachelors,6,Cloud Engineer
393,"apache, csharp, jira, redis, solidity, tensorflow",Bachelors,11,Data Scientist
394,"gitlab, sql, statistics, supabase",Masters,10,Data Analyst
395,"data_analysis, grpc, nosql, numpy, swift",PhD,11,Database Administrator
396,"devops, dotnet, pandas, rabbitmq",PhD,2,Data Scientist
397,"apache_spark, deep_learning, python, ui_design",PhD,6,Data Scientist
398,"agile, gcp, gitlab, r, sketch, testing",Bootcamp,15,DevOps Engineer
399,"deep_learning, docker, express",Bachelors,10,Backend Developer
400,"apache_spark, illustrator, mongodb_atlas, statistics, websockets",Masters,15,Data Analyst
401,"cybersecurity, kotlin, mongodb, nodejs, testing",Bachelors,11,Software Developer
402,"communication, flask, kubernetes, problem_solving, r, rest_apis, sql",Bootcamp,10,Backend Developer
403,"apache_spark, gitlab, numpy, powerbi, scikit_learn",Masters,10,Machine Learning Engineer
404,"blockchain, cypress, go, leadership, php",Bachelors,7,QA Engineer
405,"azure, csharp, kafka, leadership, nosql, rails, supabase, technical_writing",Masters,9,DevOps Engineer
406,"aws, blockchain, nodejs, r, statistics",Bachelors,3,Full Stack Developer
407,"css, devops, git, illustrator, jenkins, mysql, r, swift",Bachelors,15,Frontend Developer
408,"blockchain, dotnet, elasticsearch, github_actions, gitlab, microservices, nlp",Bachelors,0,DevOps Engineer
409,"apache, apache_spark, kubernetes, nosql, tableau",Bachelors,5,Solutions Architect
410,"computer_vision, jenkins, php, python",Bachelors,6,Data Scientist
411,"redis, scala, ui_design",Bootcamp,5,UX/UI Designer
412,"github_actions, go, postgresql, python, ruby, websockets",Bachelors,8,Software Developer
413,"bash, blockchain, devops, machine_learning, nosql, react, tableau, typescript",Bachelors,8,Frontend Developer
414,"cpp, elasticsearch, gcp, illustrator, laravel, rabbitmq, rest_apis, scikit_learn",Bootcamp,14,Solutions Architect
415,"blockchain, elasticsearch, gcp, gitlab, r, rust, selenium, vue",Bachelors,6,DevOps Engineer
416,"cybersecurity, gcp, grpc, jenkins, numpy, python, react, supabase",Bachelors,6,Cloud Engineer
417,"docker, elasticsearch, go, jenkins, mongodb, mongodb_atlas, problem_solving, tensorflow",Bachelors,6,Machine Learning Engineer
418,"bash, docker, express, hadoop, linux, networking, public_speaking, tableau",Masters,0,Cloud Engineer
419,"computer_vision, data_analysis, git, linux",Masters,3,Software Developer
420,"agile, azure, data_viz, pandas, project_management, ui_design",Masters,9,Project Manager
421,"angular, dotnet, express, swift, tableau",Masters,13,Full Stack Developer
422,"bash, ethereum, graphql, mongodb_atlas, pytest, ruby, scikit_learn",Bachelors,15,QA Engineer
423,"aws, data_analysis, react",Bachelors,14,Full Stack Developer
424,"computer_vision, deep_learning, git, machine_learning, nginx, project_management, pytest",Bachelors,13,Data Scientist
425,"apache_spark, kubernetes, leadership, selenium, typescript",PhD,14,Solutions Architect
426,"deep_learning, github_actions, ruby",PhD,7,Data Scientist
427,"agile, communication, computer_vision, deep_learning, django, gcp, go, tableau",Bachelors,14,Data Scientist
428,"computer_vision, cybersecurity, data_analysis, git, pytorch, selenium, ux_research",Bachelors,10,Data Scientist
429,"apache_spark, jira, nlp, photoshop, redis, typescript",Masters,12,Project Manager
430,"data_analysis, django, gcp, numpy, powershell, problem_solving, ux_research",Bootcamp,3,Cybersecurity Analyst
431,"blockchain, cybersecurity, data_analysis, jira, numpy, vue",Bachelors,7,Project Manager
432,"computer_vision, github_actions, nginx, nodejs",Bachelors,15,Full Stack Developer
433,"aws, data_analysis, nginx, pytest, ruby, technical_writing",Masters,3,Cybersecurity Analyst
434,"css, linux, machine_learning, mysql, numpy, public_speaking, rails, solidity",Masters,9,Data Scientist
435,"apache_spark, cicd, computer_vision, cybersecurity, html, jenkins, nginx, powerbi",Masters,10,DevOps Engineer
436,"css, deep_learning, graphql, junit, networking, rest_apis, tensorflow",Bootcamp,1,Backend Developer
437,"azure, git, grpc, illustrator, php, r",Masters,2,DevOps Engineer
438,"express, rust, terraform, testing",Masters,6,Cloud Engineer
439,"cybersecurity, laravel, numpy, problem_solving, python, sketch, statistics",Bootcamp,13,Data Scientist
440,"angular, cybersecurity, hadoop, linux, powerbi, pytest, r, terraform",Bachelors,13,Cloud Engineer
441,"aws, azure, computer_vision, deep_learning, jenkins, mysql, spring, terraform",Bachelors,12,DevOps Engineer
442,"devops, django, mongodb_atlas, nodejs, photoshop",Bachelors,9,Backend Developer
443,"computer_vision, postgresql, supabase",PhD,11,Robotics Engineer
444,"angular, django, github_actions, nlp, spring, supabase",Masters,15,Backend Developer
445,"agile, cybersecurity, git, mongodb_atlas, php",Bachelors,14,Cybersecurity Analyst
446,"agile, javascript, kafka, mongodb_atlas, pandas, project_management, tableau",Bootcamp,1,Data Analyst
447,"bash, github_actions, php, selenium",Bootcamp,12,Systems Administrator
448,"apache, grpc, jira, kotlin, nosql, react, testing",Masters,13,Frontend Developer
449,"blockchain, computer_vision, networking, pytorch, rabbitmq, spring, swift, terraform",Bachelors,4,Cloud Engineer
450,"angular, ethereum, html, machine_learning, microservices, sql, technical_writing, typescript",Bootcamp,15,Frontend Developer
451,"cybersecurity, data_analysis, figma, postgresql, powerbi, pytest",Bachelors,7,Database Administrator
452,"angular, firebase, laravel, solidity",Masters,7,Frontend Developer
453,"agile, github_actions, java, scikit_learn",Bootcamp,10,DevOps Engineer
454,"aws, data_viz, machine_learning, networking, php, technical_writing, typescript",Bootcamp,11,Cloud Engineer
455,"cicd, go, junit, project_management, pytest, redis, ux_research",PhD,15,QA Engineer
456,"apache, github_actions, postgresql, python, ruby, terraform",PhD,8,DevOps Engineer
457,"apache, mongodb_atlas, nosql, pandas",Masters,1,Data Scientist
458,"data_viz, illustrator, jira, laravel, nlp, sql",PhD,10,Data Analyst
459,"ethereum, java, laravel, powershell, r, swift",PhD,7,Software Developer
460,"apache_spark, data_analysis, elasticsearch, figma, jira",Bachelors,8,Product Manager
461,"bash, gcp, hadoop, powershell, rails",Masters,3,Systems Administrator
462,"angular, cybersecurity, gitlab, kotlin, microservices, pandas, photoshop, problem_solving",Bachelors,12,DevOps Engineer
463,"linux, mysql, nginx, powershell, pytest",Bachelors,6,Cybersecurity Analyst
464,"java, javascript, kubernetes, rails",Bachelors,2,Software Developer
465,"github_actions, jira, mongodb, postgresql, public_speaking, pytest, rabbitmq, rails",Bootcamp,14,Product Manager
466,"bash, blockchain, elasticsearch, mysql, php, rest_apis, rust",Bachelors,10,DevOps Engineer
467,"go, nginx, sketch",Masters,12,UX/UI Designer
468,"angular, computer_vision, jenkins, linux, postgresql, powershell, r, react",Bachelors,0,Systems Administrator
469,"cicd, cybersecurity, deep_learning, photoshop, php, react, vue",PhD,3,Frontend Developer
470,"angular, css, hadoop, testing, ui_design",PhD,3,Frontend Developer
471,"agile, blockchain, cicd, github_actions, junit, kotlin, solidity",Bootcamp,1,Blockchain Developer
472,"jenkins, kotlin, supabase, ui_design",Masters,10,UX/UI Designer
473,"express, microservices, nginx",Masters,13,Backend Developer
474,"agile, azure, blockchain, elasticsearch, express, illustrator, jenkins, mongodb_atlas",Bootcamp,8,DevOps Engineer
475,"aws, cicd, docker, kafka, nginx, pytest, scala, scikit_learn",Masters,6,Machine Learning Engineer
476,"apache, cicd, cpp, gitlab",Bootcamp,10,Robotics Engineer
477,"hadoop, php, sql",PhD,12,Backend Developer
478,"excel, hadoop, pytorch, sketch, supabase",Bachelors,7,Data Scientist
479,"data_analysis, express, illustrator, mongodb, pandas, powershell",Bachelors,12,Data Analyst
480,"blockchain, computer_vision, scala, selenium",Bachelors,6,Blockchain Developer
481,"gitlab, nlp, numpy, rails",Masters,11,Data Scientist
482,"computer_vision, elasticsearch, excel, gitlab, jira, linux, react",Bachelors,12,Project Manager
483,"css, javascript, kafka, leadership, machine_learning, ui_design",Masters,2,Software Developer
484,"figma, javascript, microservices, photoshop, ui_design",Bootcamp,0,UX/UI Designer
485,"agile, computer_vision, csharp, javascript, nodejs, pytorch, tensorflow, terraform",Bootcamp,4,Data Scientist
486,"rails, react, ruby",Masters,2,Frontend Developer
487,"kotlin, nginx, python, tableau",Bachelors,6,Data Analyst
488,"angular, communication, github_actions, nosql, problem_solving, rabbitmq, ruby, vue",Masters,2,Frontend Developer
489,"apache_spark, communication, excel, gitlab, java, kotlin, nginx, supabase",Bachelors,12,Data Analyst
490,"excel, mongodb_atlas, mysql, nlp, problem_solving, redis",Masters,8,Backend Developer
491,"apache, figma, graphql, vue",Bachelors,4,Solutions Architect
492,"apache, cicd, deep_learning, docker, kafka, linux, mongodb",Bootcamp,7,Software Developer
493,"cicd, computer_vision, graphql, javascript",Bachelors,15,Software Developer
494,"azure, figma, gitlab, graphql, mysql, pytest, technical_writing",Bachelors,4,DevOps Engineer
495,"devops, html, illustrator, powerbi, tensorflow, ux_research",Masters,1,Data Analyst
496,"apache, cicd, cpp, docker, github_actions, problem_solving, rust, websockets",Masters,14,DevOps Engineer
497,"aws, communication, spring, sql",Bachelors,1,Backend Developer
498,"csharp, express, spring, ui_design",Bootcamp,9,Backend Developer
499,"blockchain, ethereum, excel, figma, typescript, websockets",Bootcamp,0,Blockchain Developer
500,"angular, express, git, microservices",Bachelors,5,Backend Developer
501,"deep_learning, django, go",Bootcamp,3,Backend Developer
502,"apache, dotnet, statistics",Bachelors,15,Data Scientist
503,"azure, ethereum, typescript, vue",Bootcamp,11,DevOps Engineer
504,"bash, deep_learning, jira, nlp, pandas, react",Bachelors,5,Data Scientist
505,"data_analysis, express, kafka, postgresql, public_speaking, scikit_learn, swift",Bachelors,3,Backend Developer
506,"cybersecurity, networking, redis, statistics",Masters,2,Cybersecurity Analyst
507,"excel, laravel, nosql",Bootcamp,11,Data Analyst
508,"communication, computer_vision, csharp, graphql, kotlin, laravel, tensorflow, typescript",Bachelors,5,Data Scientist
509,"blockchain, cicd, gcp, pytest, pytorch, rabbitmq",Bachelors,7,Data Scientist
510,"hadoop, jira, microservices, nginx, spring",Bootcamp,8,Backend Developer
511,"computer_vision, grpc, nosql, pandas, postgresql, powershell, rails, typescript",Bachelors,0,Data Scientist
512,"django, gitlab, postgresql, rails, rest_apis",Bootcamp,8,Backend Developer
513,"cpp, github_actions, problem_solving, project_management, rust, tableau",Bachelors,4,Product Manager
514,"blockchain, cpp, deep_learning, gcp, linux, nlp, scikit_learn, terraform",Bachelors,8,Cloud Engineer
515,"github_actions, gitlab, spring, ux_research, websockets",Bachelors,5,DevOps Engineer
516,"apache, cybersecurity, kubernetes",Bachelors,15,Cybersecurity Analyst
517,"cicd, cypress, data_analysis, gcp, jira, websockets",Masters,1,DevOps Engineer
518,"linux, photoshop, sql",PhD,15,Systems Administrator
519,"numpy, r, rails",Bachelors,8,Data Scientist
520,"apache_spark, graphql, public_speaking, tableau",PhD,7,UX/UI Designer
521,"agile, bash, excel, javascript, nginx, php, pytorch, rabbitmq",Masters,5,Data Analyst
522,"cypress, rabbitmq, sketch",PhD,5,Frontend Developer
